_ - id	_ - primary_heb_full	_ - primary_rom_full	_ - coor	_ - wd	_ - naF_ID	_ - viaF_ID	_ - geoname_ID
20001	וולקרסהאוזן (גרמניה)	Völkershausen (Germany)			1058384	130459560	
20002	בדנודמיאנובסק (רוסיה)	Bednodemʹi︠a︡novsk (Russia)			1068616	146786387	
20003	נאנג'ינג (ג'יאנגסו שנג, סין)	Nanjing (Jiangsu Sheng, China)			1068653	150033366	
20004	קוזואולו (איטליה)	Cozzuolo (Italy)			1068654	129208324	
20005	מהבאד (איראן)	Mahabad (Iran)			1068696	143415391	
20006	אושייצק (פולין)	Osieck (Poland)			1068714	136244400	
20007	לנגנלונסהיים (גרמניה)	Langenlonsheim (Germany)			1068724	130388460	
20008	דמנהור (מצרים)	Damanhur (Egypt)			1068729	157308610	
20009	זליתן (לוב)	Zlīṭan (Libya)			1068730	123010869	
20010	רומני מארש (אנגליה)	Romney Marsh (England)			1068736	132875213	
20011	קוזין (אוקראינה)	Kozin (Ukraine)			1068748	125837265	
20012	אוזריאני (ולהין, אוקראינה)	Ozeryany (Volhynia, Ukraine)			1068749	125837296	
20013	קטלפימי (איטליה)	Calatafimi (Italy)			1068750	124684901	
20014	מהרינג (ריינלנד-פאלץ, גרמניה)	Mehring (Rhineland-Palatinate, Germany)			1068773	154974513	
20015	אוסטרין (בלארוס)	Ostryna (Belarus)			1068802	129354031	
20016	נובידבור (בלארוס)	Novyy Dvor (Belarus)			1068803	148096071	
20017	רוז'נקה (בלארוס)	Rozhanka (Belarus)			1068804	146928330	
20018	וסילישקי (בלארוס)	Vasilishki (Belarus)			1068805	129354049	
20019	מנגליה (רומניה)	Mangalia (Romania)			1068841	143270531	
20020	וילימפנטה (איטליה)	Villimpenta (Italy)			1068849	142098225	
20021	שאובק (ירדן)	Shawbak (Jordan)			1068868	124539753	
20022	אולשן (בלארוס)	Golʹshany (Belarus)			1068881	145518386	
20023	לימבורג (בלגיה)	Limbourg (Belgium)			1068886	315142565	
20024	טאנגשאן (הביי שנג, סין)	Tangshan (Hebei Sheng, China)			1068897	127139733	
